churn_reason,Customer ID,Total Refunds,Total Charges,Total Revenue,Paperless Billing,Total Long Distance Charges,Total Extra Data Charges,Contract,Tenure in Months,Number of Referrals,Monthly Charge,Payment Method,Customer Status,Avg Monthly GB Download
,1394-SUIUH,0,3670.5,5625.86,Yes,1955.36,0,Two Year,44,4,85.15,Bank Withdrawal,Stayed,6
,1395-OFUWC,0,1224.05,1224.05,No,0,0,Month-to-Month,43,5,29.3,Credit Card,Stayed,53
,1395-WSWXR,0,487.05,1627.29,No,1140.24,0,Two Year,24,0,20.75,Credit Card,Stayed,
13,1396-QWFBJ,0,1565.7,1672.17,Yes,106.47,0,Month-to-Month,21,1,74.05,Bank Withdrawal,Churned,26
,1397-XKKWR,0,264.8,264.8,No,0,0,One Year,7,0,35.3,Credit Card,Stayed,14
,1399-OUPJN,0,1272.05,1970.87,No,698.82,0,Two Year,57,3,19.75,Bank Withdrawal,Stayed,
,1399-UBQIU,0,712.25,889.79,Yes,177.54,0,Month-to-Month,11,0,-3,Bank Withdrawal,Stayed,8
18,1400-MMYXY,0,334.65,458.55,Yes,123.9,0,Month-to-Month,3,1,105.9,Bank Withdrawal,Churned,2
,1400-WIVLL,0,5969.85,6926.31,No,956.46,0,Two Year,57,2,107.95,Bank Withdrawal,Stayed,29
,1401-FTHFQ,0,445.3,1002.36,Yes,557.06,0,One Year,23,2,20,Credit Card,Stayed,
,1402-PTHGN,0,1087.45,1813.93,Yes,726.48,0,One Year,18,7,61.5,Credit Card,Stayed,51
,1403-GYAFU,0,1360.25,4760.15,No,3399.9,0,Two Year,70,5,20.05,Credit Card,Stayed,
,1403-LKLIK,0,579.4,1516.6,No,937.2,0,One Year,33,3,20.1,Credit Card,Stayed,
,1406-PUQVY,0,49.9,56.25,Yes,6.35,0,Month-to-Month,1,0,49.9,Bank Withdrawal,Joined,76
,1407-DIGZV,0,52,187.99,No,135.99,0,Two Year,3,9,19.1,Mailed Check,Joined,
,1409-PHXTF,0,6077.75,7835.99,Yes,1758.24,0,Two Year,54,5,110.45,Bank Withdrawal,Stayed,16
,1410-RSCMR,0,515.75,865.61,Yes,349.86,0,Month-to-Month,7,3,71.35,Credit Card,Stayed,25
,1414-YADCW,0,5706.2,5781.1,No,74.9,0,Two Year,70,3,84.6,Bank Withdrawal,Stayed,21
2,1415-YFWLT,0,89.3,119.53,Yes,30.23,0,Month-to-Month,1,0,89.3,Bank Withdrawal,Churned,30
,1421-HCERK,0,3181.8,4186.2,Yes,1004.4,0,Month-to-Month,30,6,105.7,Bank Withdrawal,Stayed,22
,1422-DGUBX,16.96,2619.15,3981.71,Yes,1379.52,0,One Year,32,4,79.25,Bank Withdrawal,Stayed,18
,1423-BMPBQ,0,19,47.28,Yes,28.28,0,Month-to-Month,1,1,19,Credit Card,Joined,
,1427-VERSM,0,5669.5,6061.5,Yes,392,0,Month-to-Month,56,3,98.7,Bank Withdrawal,Stayed,18
14,1428-GTBJJ,0,824.75,884.15,Yes,59.4,0,Month-to-Month,11,0,74.55,Bank Withdrawal,Churned,41
,1428-IEDPR,3.85,5731.4,6869.15,Yes,1081.6,60,Two Year,52,0,109.3,Bank Withdrawal,Stayed,30
,1429-UYJSV,0,260.9,700.7,No,439.8,0,One Year,12,0,19.7,Credit Card,Stayed,
,1430-SFQSA,0,1072.6,1072.6,No,0,0,One Year,29,0,35.6,Mailed Check,Stayed,8
,1431-AIDJQ,0,2603.1,2656.56,No,53.46,0,Two Year,33,1,82.1,Credit Card,Stayed,30
,1431-CYWMH,0,454.05,1475.95,No,1021.9,0,Month-to-Month,22,0,19.05,Bank Withdrawal,Stayed,
7,1432-FPAXX,0,856.35,856.35,Yes,0,0,Month-to-Month,29,0,30.6,Bank Withdrawal,Churned,7
,1436-ZMJAN,0,653.15,1023.95,Yes,370.8,0,Month-to-Month,10,6,67.8,Credit Card,Stayed,7
,1439-LCGVL,0,459.6,505.1,No,45.5,0,One Year,26,10,-5,Credit Card,Stayed,
,1442-BQPVU,0,357.15,357.15,No,0,0,Month-to-Month,13,0,29.15,Bank Withdrawal,Stayed,28
,1442-OKRJE,0,7031.3,9635,Yes,2603.7,0,One Year,66,7,103.15,Bank Withdrawal,Stayed,19
7,1444-VVSGW,0,7968.85,9180.75,No,1201.9,10,One Year,70,1,115.65,Credit Card,Churned,20
11,1447-GIQMR,0,69.15,71.35,Yes,2.2,0,Month-to-Month,1,1,69.15,Bank Withdrawal,Churned,30
5,1447-PJGGA,0,5464.65,6465,Yes,1000.35,0,Two Year,57,0,95.25,Bank Withdrawal,Churned,15
,1448-CYWKC,34.83,6225.4,8685.15,Yes,2494.58,0,One Year,58,2,105.2,Credit Card,Stayed,30
2,1448-PWKYE,0,80,115.71,No,35.71,0,Month-to-Month,1,1,80,Bank Withdrawal,Churned,3
14,1449-XQEMT,0,58.15,103.51,Yes,45.36,0,Month-to-Month,3,0,19.8,Mailed Check,Churned,
2,1450-GALXR,0,1058.25,1313.55,Yes,145.3,110,Month-to-Month,10,0,98.5,Bank Withdrawal,Churned,30
12,1450-SKCVI,0,4092.85,6085.89,Yes,1993.04,0,Month-to-Month,56,0,73.85,Bank Withdrawal,Churned,69
,1452-KIOVK,0,1949.4,2599.28,Yes,649.88,0,Month-to-Month,22,0,89.1,Credit Card,Stayed,53
,1452-UZOSF,23.39,7548.6,8040.73,Yes,515.52,0,Two Year,72,9,106.1,Credit Card,Stayed,24
,1452-VOQCH,0,75.1,79.63,Yes,4.53,0,Month-to-Month,1,0,75.1,Bank Withdrawal,Joined,28
,1452-XRSJV,0,2066,2653.34,No,587.34,0,Month-to-Month,39,3,51.05,Credit Card,Stayed,11
,1453-RZFON,0,49.9,58.9,No,9,0,Month-to-Month,1,0,49.9,Credit Card,Joined,53
16,1455-ESIQH,0,89.1,105.16,Yes,16.06,0,Month-to-Month,1,0,89.1,Bank Withdrawal,Churned,3
,1455-HFBXA,0,4627.8,5624.84,Yes,937.04,60,Two Year,52,3,91.6,Credit Card,Stayed,3
13,1455-UGQVH,0,1037.75,1048.65,Yes,10.9,0,Month-to-Month,10,1,98.5,Bank Withdrawal,Churned,18
,1456-TWCGB,0,208.45,360.49,No,152.04,0,Month-to-Month,4,0,49.25,Mailed Check,Stayed,5
,1459-QNFQT,23.72,4144.8,4121.08,No,0,0,Two Year,70,7,59.5,Bank Withdrawal,Stayed,30
,1460-UZPRJ,0,1258.15,3066.55,No,1808.4,0,Two Year,60,7,19.95,Credit Card,Stayed,
,1465-LNTLJ,0,581.7,786.26,Yes,204.56,0,Two Year,8,7,64.4,Credit Card,Stayed,12
8,1465-VINDH,0,1068.85,1389.55,Yes,320.7,0,Month-to-Month,10,1,102.1,Credit Card,Churned,22
,1465-WCZVT,0,60.65,151.67,No,91.02,0,Month-to-Month,3,1,19.65,Credit Card,Joined,
,1468-DEFNC,0,1548.65,3922.41,Yes,2373.76,0,Two Year,64,9,24.4,Bank Withdrawal,Stayed,
,1469-LBJQJ,0,6936.85,9724.03,Yes,2787.18,0,Month-to-Month,66,6,105.2,Bank Withdrawal,Stayed,30
,1470-PSXNM,33.13,4520.15,6254.94,Yes,1767.92,0,One Year,49,7,93.65,Bank Withdrawal,Stayed,59
,1471-GIQKQ,0,49.95,94.93,No,44.98,0,Month-to-Month,1,0,49.95,Bank Withdrawal,Joined,27
,1472-TNCWL,0,3512.5,4279.3,Yes,766.8,0,Month-to-Month,36,0,94.7,Bank Withdrawal,Stayed,18
,1474-JUWSM,0,3972.25,5537.67,Yes,1565.42,0,One Year,58,8,68.4,Bank Withdrawal,Stayed,53
,1475-VWVDO,0,490.55,732.68,Yes,242.13,0,Month-to-Month,7,0,74.9,Bank Withdrawal,Stayed,12
,1478-VPOAD,0,43.8,81.3,No,37.5,0,Month-to-Month,1,0,43.8,Bank Withdrawal,Joined,3
,1480-BKXGA,0,8404.9,10063.54,Yes,1538.64,120,Two Year,72,5,116.05,Bank Withdrawal,Stayed,13
,1480-IVEVR,0,2815.25,2960.85,Yes,145.6,0,One Year,35,2,81.6,Bank Withdrawal,Stayed,28
3,1481-ZUWZA,0,2659.4,3653.96,Yes,994.56,0,Month-to-Month,28,0,94.5,Credit Card,Churned,26
,1482-OXZSY,0,2936.25,3454.05,Yes,517.8,0,Month-to-Month,30,0,100.4,Bank Withdrawal,Stayed,19
,1485-YDHMM,0,4631.7,5219.3,Yes,587.6,0,Month-to-Month,52,1,93.25,Bank Withdrawal,Stayed,10
,1488-PBLJN,0,8477.7,10769.46,Yes,2291.76,0,Two Year,72,1,116.85,Bank Withdrawal,Stayed,14
,1488-SYSFC,43.76,702.05,954.65,Yes,296.36,0,Month-to-Month,31,10,20.65,Bank Withdrawal,Stayed,
,1492-KGETH,0,5445.95,7958.95,No,2513,0,One Year,70,2,78.35,Bank Withdrawal,Stayed,59
,1492-QGCLU,0,4616.1,6038.62,No,1422.52,0,Month-to-Month,53,5,85.7,Bank Withdrawal,Stayed,12
14,1493-AMTIE,0,20.2,31.18,Yes,10.98,0,Month-to-Month,1,0,20.2,Bank Withdrawal,Churned,
,1494-EJZDW,0,220.8,407,No,186.2,0,Two Year,10,1,20.15,Credit Card,Stayed,
18,1496-GGSUK,0,25.7,25.7,Yes,0,0,Month-to-Month,1,0,25.7,Mailed Check,Churned,9
,1498-DQNRX,0,573.05,738.06,No,165.01,0,Month-to-Month,29,0,19.85,Mailed Check,Stayed,
,1498-NHTLT,0,5186,7835.83,Yes,2499.83,150,Two Year,59,4,86.75,Bank Withdrawal,Stayed,73
5,1501-SGHBW,0,81,120.04,No,39.04,0,Month-to-Month,2,0,45.85,Credit Card,Churned,16
8,1502-XFCVR,0,6145.85,7015.27,Yes,869.42,0,One Year,58,0,106.45,Bank Withdrawal,Churned,12
,1506-YJTYT,0,3371,4527.05,No,1156.05,0,Two Year,45,9,73.85,Credit Card,Stayed,26
,1508-DFXCU,0,912,1044.48,Yes,132.48,0,Month-to-Month,12,0,81.45,Bank Withdrawal,Stayed,16
7,1513-XNPPH,0,1095.65,1305.17,Yes,209.52,0,Month-to-Month,12,0,89.4,Bank Withdrawal,Churned,9
,1518-OMDIK,0,1462.6,3062.77,Yes,1600.17,0,Month-to-Month,33,6,44.55,Credit Card,Stayed,51
5,1518-VOWAV,0,703.55,1031.42,Yes,327.87,0,Month-to-Month,9,0,74.65,Bank Withdrawal,Churned,16
17,1522-VVDMG,26.02,608.8,717.39,Yes,134.61,0,Month-to-Month,7,1,89.75,Bank Withdrawal,Churned,52
,1525-LNLOJ,40.62,4189.7,6263.72,Yes,2114.64,0,Two Year,66,5,63.3,Bank Withdrawal,Stayed,19
5,1527-SXDPN,0,4990.25,7532.93,Yes,2422.68,120,Two Year,52,1,96.25,Bank Withdrawal,Churned,26
,1530-ZTDOZ,0,2070.75,2070.75,No,0,0,Month-to-Month,49,6,40.65,Bank Withdrawal,Stayed,11
,1534-OULXE,0,2961.4,5575.25,Yes,2613.85,0,One Year,61,2,49.7,Bank Withdrawal,Stayed,11
,1535-VTJOQ,0,553,1192.36,No,639.36,0,Two Year,24,0,25.15,Credit Card,Stayed,
,1536-HBSWP,0,49.9,64.83,Yes,14.93,0,Month-to-Month,1,0,49.9,Bank Withdrawal,Joined,4
,1536-YHDOE,0,1096.65,1645.24,Yes,548.59,0,One Year,17,10,62.1,Credit Card,Stayed,28
,1539-LNKHM,0,266.6,545,No,278.4,0,Month-to-Month,12,0,20.4,Credit Card,Stayed,
16,1541-ETJZO,0,62.05,119.88,No,47.83,10,Month-to-Month,1,0,62.05,Mailed Check,Churned,12
,1543-LLLFT,0,6066.55,6200.14,Yes,133.59,0,One Year,61,2,98.3,Credit Card,Stayed,8
,1544-JJMYL,0,1927.3,2909.83,No,982.53,0,One Year,27,0,69.35,Credit Card,Stayed,26
,1545-ACTAS,0,4977.2,6713.84,Yes,1736.64,0,One Year,48,2,99.7,Bank Withdrawal,Stayed,29
,1545-JFUML,0,6994.6,10162.86,Yes,3128.26,40,Two Year,71,5,99,Bank Withdrawal,Stayed,6
,1548-ARAGG,0,224.85,365.65,Yes,140.8,0,Month-to-Month,4,9,58.5,Credit Card,Stayed,52
,1548-FEHVL,0,6375.2,8062.46,Yes,1687.26,0,Month-to-Month,61,6,106.2,Bank Withdrawal,Stayed,29
,1550-EENBN,0,3205.6,4622.61,No,1417.01,0,Month-to-Month,31,0,104.35,Bank Withdrawal,Stayed,58
4,1550-LOAHA,0,2585.95,3785.31,No,1199.36,0,Month-to-Month,32,1,84.15,Bank Withdrawal,Churned,13
,1552-AAGRX,0,3211.9,4546.6,No,1274.7,60,Month-to-Month,30,0,106.4,Bank Withdrawal,Stayed,73
,1552-CZCLL,0,1087.25,2808.75,No,1721.5,0,Month-to-Month,55,4,20,Credit Card,Stayed,
,1552-TKMXS,0,869.9,1119.8,No,249.9,0,Month-to-Month,42,0,20.35,Credit Card,Stayed,
6,1555-DJEQW,48.54,7723.9,8849.96,Yes,1174.6,0,Two Year,70,1,114.2,Bank Withdrawal,Churned,48
,1555-HAPSU,0,1663.5,3751.61,No,2088.11,0,Two Year,71,1,23.9,Credit Card,Stayed,
,1557-EMYVT,10.76,4895.1,5952.89,No,1068.55,0,Two Year,43,0,115.05,Credit Card,Stayed,26
,1559-DTODC,0,468.35,468.35,Yes,0,0,Month-to-Month,19,0,25.15,Bank Withdrawal,Stayed,6
,1561-BWHIN,0,344.5,593.97,No,249.47,0,One Year,19,1,19.8,Credit Card,Stayed,
,1563-IWQEX,0,220.35,444.87,No,224.52,0,Month-to-Month,12,0,19.7,Credit Card,Stayed,
,1564-HJUVY,0,226.2,238.32,Yes,12.12,0,Month-to-Month,4,0,63.75,Bank Withdrawal,Stayed,11
12,1564-NTYXF,0,1127.2,1185.05,Yes,57.85,0,Month-to-Month,13,0,82,Bank Withdrawal,Churned,25
8,1565-RHDJD,0,333.55,500.43,No,166.88,0,Month-to-Month,4,0,84.05,Bank Withdrawal,Churned,69
7,1567-DSCIC,0,773.65,964.77,Yes,191.12,0,Month-to-Month,8,0,94,Bank Withdrawal,Churned,14
,1568-BEKZM,0,6333.4,7178.3,No,844.9,0,Two Year,70,7,90.05,Credit Card,Stayed,17
,1568-LJSZU,0,6392.85,9002.69,Yes,2609.84,0,Two Year,68,4,92.2,Credit Card,Stayed,20
9,1569-TTNYJ,0,412.1,427.9,Yes,5.8,10,Month-to-Month,5,1,78.75,Bank Withdrawal,Churned,7
2,1571-SAVHK,0,1132.75,1590.67,Yes,337.92,120,Month-to-Month,12,0,99.95,Credit Card,Churned,42
,1573-LGXBA,0,5598,5836.26,Yes,238.26,0,One Year,57,1,97.55,Credit Card,Stayed,73
,1574-DYCWE,0,1028.75,1770.29,No,741.54,0,Two Year,51,10,19.95,Credit Card,Stayed,
,1575-KRZZE,0,220.65,250.61,No,29.96,0,Month-to-Month,4,0,55.2,Bank Withdrawal,Stayed,17
,1576-PFZIW,0,7511.9,8525.5,No,1013.6,0,Two Year,70,2,105.35,Credit Card,Stayed,7
12,1577-HKTFG,0,655.85,1116.65,No,460.8,0,Month-to-Month,30,1,19.65,Bank Withdrawal,Churned,
5,1579-KLYDT,0,593.45,844.82,Yes,251.37,0,Month-to-Month,7,0,90.45,Bank Withdrawal,Churned,27
,1580-BMCMR,0,1637.3,2203.5,Yes,566.2,0,Month-to-Month,19,0,87.3,Bank Withdrawal,Stayed,16
2,1582-RAFML,0,60.1,83.73,No,23.63,0,Month-to-Month,1,0,60.1,Mailed Check,Churned,85
12,1583-IHQZE,0,1384.75,1582.15,Yes,197.4,0,Month-to-Month,12,0,112.95,Mailed Check,Churned,23
13,1585-MQSSU,35.34,900.5,1657.36,No,792.2,0,Month-to-Month,17,0,51.5,Mailed Check,Churned,2
2,1587-FKLZB,0,6822.15,8726.91,Yes,1904.76,0,Month-to-Month,66,1,99.5,Credit Card,Churned,25
9,1589-AGTLK,0,141.5,250.94,Yes,109.44,0,Month-to-Month,3,0,45.35,Bank Withdrawal,Churned,59
,1591-MQJTP,0,4839.15,4951.86,Yes,112.71,0,One Year,51,7,93.65,Bank Withdrawal,Stayed,10
17,1591-NFNLQ,0,4242.35,4528.97,No,286.62,0,Month-to-Month,51,0,80,Credit Card,Churned,16
,1591-XWLGB,0,1379.6,2686.71,No,1307.11,0,Two Year,71,10,19.85,Credit Card,Stayed,
17,1596-BBVTG,0,2636.05,3512.45,No,876.4,0,Month-to-Month,35,0,75.35,Credit Card,Churned,21
,1596-OQSPS,0,531.15,563.6,No,32.45,0,Month-to-Month,11,0,51.1,Bank Withdrawal,Stayed,21
15,1597-FZREH,0,160.8,244.08,No,83.28,0,Month-to-Month,2,0,76.4,Bank Withdrawal,Churned,25
6,1597-LHYNC,0,2497.2,3795.58,Yes,1238.38,60,Month-to-Month,26,0,95,Bank Withdrawal,Churned,26
,1599-EAHXY,0,1506.4,3213.4,No,1707,0,One Year,60,1,23.95,Credit Card,Stayed,
,1599-MMYRQ,14.15,4983.05,7428.44,Yes,2459.54,0,One Year,62,1,81.45,Credit Card,Stayed,41
,1600-DILPE,0,524.35,957.67,Yes,433.32,0,Month-to-Month,12,0,45,Bank Withdrawal,Stayed,13
2,1602-IJQQE,0,338.1,454.54,No,116.44,0,Month-to-Month,4,0,75.35,Bank Withdrawal,Churned,9
,1608-GMEWB,0,4200.25,4904.5,Yes,704.25,0,Two Year,45,0,93.9,Bank Withdrawal,Stayed,18
12,1612-EOHDH,0,45.15,76.07,No,30.92,0,Month-to-Month,1,0,45.15,Bank Withdrawal,Churned,69
,1614-JBEBI,0,137.6,349.36,Yes,211.76,0,Month-to-Month,8,0,20.7,Mailed Check,Stayed,
9,1618-CFHME,0,143.35,197.09,Yes,53.74,0,Month-to-Month,2,0,75.9,Bank Withdrawal,Churned,52
,1619-YWUBB,0,1614.9,3426.42,Yes,1811.52,0,Two Year,68,2,24.95,Credit Card,Stayed,
,1621-YNCJH,0,3834.4,4577.04,Yes,692.64,50,Two Year,36,4,106.05,Credit Card,Stayed,18
,1622-HSHSF,0,19.55,29.75,Yes,10.2,0,Month-to-Month,1,0,19.55,Credit Card,Joined,
2,1623-NLDOT,0,1445.3,1495.3,No,0,50,One Year,42,1,33.55,Mailed Check,Churned,5
16,1624-NALOJ,0,502.6,684.4,Yes,181.8,0,Month-to-Month,5,0,89.8,Bank Withdrawal,Churned,12
2,1624-WOIWJ,12.81,832.05,1276.14,Yes,456.9,0,Month-to-Month,10,0,84.7,Mailed Check,Churned,18
7,1625-JAIIY,0,5685.8,8694.12,Yes,3008.32,0,One Year,68,1,83,Bank Withdrawal,Churned,5
2,1626-ERCMM,0,1899.65,2005.85,Yes,106.2,0,Month-to-Month,20,7,94.55,Bank Withdrawal,Churned,10
,1627-AFWVJ,0,554.25,990.99,No,436.74,0,Two Year,29,0,19.4,Credit Card,Stayed,
,1628-BIZYP,0,85,100.2,Yes,15.2,0,Month-to-Month,1,0,85,Bank Withdrawal,Joined,2
,1629-DQQVB,0,709.5,1216.58,No,507.08,0,Month-to-Month,14,0,50.1,Bank Withdrawal,Stayed,59
,1635-FJFCC,0,202.15,257.1,Yes,54.95,0,Month-to-Month,5,0,44.05,Credit Card,Stayed,29
,1635-HDGFT,24.07,398.55,1048.03,No,673.55,0,Two Year,19,0,20.5,Credit Card,Stayed,
,1635-NZATJ,0,1789.65,4434.4,No,2644.75,0,Two Year,71,3,25.45,Credit Card,Stayed,
,1636-NTNCO,0,207.35,207.35,Yes,0,0,Two Year,4,0,50.95,Credit Card,Stayed,10
,1640-PLFMP,0,70.25,90.3,Yes,10.05,10,Month-to-Month,1,0,70.25,Bank Withdrawal,Joined,51
,1641-BYBTK,0,98.35,199.81,Yes,101.46,0,Month-to-Month,6,0,20.2,Credit Card,Stayed,
,1641-RQDAY,0,3217.65,4792.37,Yes,1574.72,0,One Year,32,1,100.4,Bank Withdrawal,Stayed,19
,1642-HMARX,0,6424.7,7488.9,Yes,1064.2,0,Two Year,68,10,91.7,Bank Withdrawal,Stayed,5
12,1644-IRKSF,0,3124.5,3785.16,Yes,660.66,0,One Year,33,5,93.8,Bank Withdrawal,Churned,27
,1656-DRSMG,0,7002.95,8200.58,Yes,1197.63,0,Month-to-Month,63,0,109.85,Credit Card,Stayed,20
,1657-DYMBM,0,1110.05,2936.43,No,1826.38,0,Two Year,53,8,19.9,Credit Card,Stayed,
5,1658-BYGOY,45.61,1752.55,1910.88,Yes,203.94,0,Month-to-Month,18,0,95.45,Bank Withdrawal,Churned,52
,1658-TJVOA,0,450.9,526.92,Yes,76.02,0,Two Year,6,0,74.1,Bank Withdrawal,Stayed,20
,1658-XUHBX,0,5348.65,6301.5,Yes,952.85,0,Month-to-Month,59,3,88.75,Credit Card,Stayed,26
13,1660-HSOOQ,0,49.65,93.83,Yes,4.18,40,Month-to-Month,1,0,49.65,Credit Card,Churned,8
,1661-CZBAU,0,3629.2,5777.68,Yes,2148.48,0,One Year,48,0,70.95,Bank Withdrawal,Stayed,18
,1663-MHLHE,0,19.2,55.08,No,35.88,0,Month-to-Month,1,0,19.2,Credit Card,Joined,
,1666-JXLKU,0,3810.55,4456.57,Yes,646.02,0,Month-to-Month,37,0,100.05,Bank Withdrawal,Stayed,22
,1666-JZPZT,0,1291.35,1363.98,No,72.63,0,Month-to-Month,27,0,49,Mailed Check,Stayed,15
2,1670-SVOWZ,0,1208.35,1435.03,Yes,106.68,120,Month-to-Month,14,1,89.65,Credit Card,Churned,3
,1676-MQAOA,0,5336.35,6418.51,Yes,1082.16,0,Two Year,72,0,75.1,Bank Withdrawal,Stayed,22
8,1678-FYZOW,0,244.65,384.45,Yes,139.8,0,Month-to-Month,3,0,79.4,Bank Withdrawal,Churned,76
,1679-JRFBR,0,7930.55,8334.45,Yes,403.9,0,One Year,70,4,108.15,Credit Card,Stayed,48
,1680-VDCWW,0,202.25,334.73,No,132.48,0,One Year,12,10,19.8,Bank Withdrawal,Stayed,
,1682-VCOIO,0,481.1,1543.01,No,1061.91,0,One Year,23,0,20.45,Credit Card,Stayed,
,1684-FLBGS,16.89,1652.1,2267.48,Yes,632.27,0,Month-to-Month,23,6,69.5,Credit Card,Stayed,21
,1685-BQULA,4.18,3756.4,3865.42,Yes,113.2,0,Month-to-Month,40,0,93.4,Bank Withdrawal,Stayed,22
,1685-VAYJF,0,492,1088.49,No,446.49,150,Month-to-Month,11,0,45.2,Credit Card,Stayed,22
,1686-STUHN,0,849.9,2476.98,No,1627.08,0,One Year,42,0,19.8,Bank Withdrawal,Stayed,
9,1689-MRZQR,0,2564.3,3021.6,No,457.3,0,Month-to-Month,34,1,78.3,Bank Withdrawal,Churned,12
,1689-YQBYY,0,893,1206.56,Yes,313.56,0,Month-to-Month,12,0,76.6,Bank Withdrawal,Stayed,23
,1696-HXOWK,0,6856.95,7227.57,No,370.62,0,One Year,71,6,95.65,Credit Card,Stayed,10
,1696-MZVAU,0,947.75,947.75,Yes,0,0,One Year,39,8,25.25,Credit Card,Stayed,48
,1697-BCSHV,0,3970.4,6528.2,Yes,2557.8,0,Month-to-Month,58,2,66.8,Bank Withdrawal,Stayed,19
,1697-LYYYX,0,1143.8,3712.51,No,2568.71,0,One Year,61,8,19.1,Credit Card,Stayed,
,1697-NVVGY,0,1286.05,1864.41,No,578.36,0,Month-to-Month,19,1,66.4,Bank Withdrawal,Stayed,26
,1698-XFZCI,0,6521.9,9108.3,Yes,2586.4,0,One Year,61,0,107.75,Bank Withdrawal,Stayed,71
8,1699-HPSBG,0,727.8,843,Yes,115.2,0,One Year,12,0,59.8,Bank Withdrawal,Churned,23
,1699-TLDLZ,0,301.55,415.79,No,114.24,0,Two Year,16,10,19.7,Credit Card,Stayed,
,1699-UOTXU,0,3638.25,5493.45,No,1855.2,0,Two Year,60,0,61.4,Bank Withdrawal,Stayed,26
,1702-CCFNJ,0,3169.55,5491.35,No,2321.8,0,Month-to-Month,52,3,61.35,Bank Withdrawal,Stayed,3
,1703-MGIAB,33.67,1108,1167.66,Yes,93.33,0,Month-to-Month,17,0,69,Credit Card,Stayed,14
12,1704-NRWYE,0,751.65,1141.71,Yes,390.06,0,Month-to-Month,9,0,80.85,Bank Withdrawal,Churned,2
,1705-GUHPV,0,1618.2,3302.82,No,1684.62,0,Two Year,63,0,24.2,Credit Card,Stayed,
,1707-HABPF,0,4126.35,4675.13,Yes,548.78,0,One Year,46,0,91.3,Bank Withdrawal,Stayed,26
,1708-PBBOA,0,2348.45,2428.45,Yes,0,80,One Year,42,0,54.75,Bank Withdrawal,Stayed,13
,1709-EJDOX,0,948.9,2901.28,No,1952.38,0,Two Year,47,10,19.75,Credit Card,Stayed,
,1710-RCXUS,0,4614.55,5084.26,Yes,469.71,0,One Year,51,0,90.35,Credit Card,Stayed,30
,1716-LSAMB,0,2553.7,4588.15,No,2034.45,0,Two Year,45,1,54.65,Bank Withdrawal,Stayed,59
,1722-LDZJS,0,1068.15,2151.47,No,1083.32,0,One Year,53,1,20.2,Credit Card,Stayed,
9,1723-HKXJQ,0,4273.45,5062.63,Yes,789.18,0,Month-to-Month,42,0,101.75,Bank Withdrawal,Churned,16
12,1724-BQUHA,0,477.7,706.3,Yes,228.6,0,Month-to-Month,5,0,89.5,Bank Withdrawal,Churned,6
,1724-IQWNM,0,19.3,27.96,Yes,8.66,0,Month-to-Month,1,0,19.3,Credit Card,Joined,
2,1725-IQNIY,0,6110.2,8383.06,No,2272.86,0,Two Year,54,1,109.75,Bank Withdrawal,Churned,9
20,1725-MIMXW,0,19.45,68.41,Yes,48.96,0,Month-to-Month,1,0,19.45,Credit Card,Churned,
,1728-BQDMA,0,82.7,120.1,No,37.4,0,Month-to-Month,2,0,44.45,Bank Withdrawal,Joined,59
,1728-CXQBE,0,6081.4,7574.52,Yes,1493.12,0,Two Year,64,9,94.25,Bank Withdrawal,Stayed,29
,1729-VLAZJ,17.96,411.45,423.49,No,0,30,One Year,10,0,40.25,Credit Card,Stayed,57
,1730-VFMWO,0,1815.3,3198.08,No,1382.78,0,Month-to-Month,34,6,50.2,Bank Withdrawal,Stayed,7
,1730-ZMAME,0,2665,4220.84,Yes,1555.84,0,Two Year,32,0,79.5,Bank Withdrawal,Stayed,12
5,1731-TVIUK,0,362.2,391.76,Yes,29.56,0,Month-to-Month,4,0,93.5,Bank Withdrawal,Churned,4
,1732-FEKLD,0,5121.75,7224.85,Yes,2033.1,70,One Year,54,0,94.75,Bank Withdrawal,Stayed,30
5,1732-VHUBQ,26.99,3309.25,4548.91,No,1266.65,0,Month-to-Month,47,1,70.55,Bank Withdrawal,Churned,26
,1734-ZMNTZ,0,300.7,466.14,No,165.44,0,Two Year,11,1,25,Credit Card,Stayed,
,1735-XMJVH,0,152.6,431.56,Yes,278.96,0,Month-to-Month,8,0,19.35,Mailed Check,Stayed,
15,1740-CSDJP,0,35.25,35.25,Yes,0,0,Month-to-Month,1,0,35.25,Bank Withdrawal,Churned,9
,1741-WTPON,0,6567.9,8856.06,No,2288.16,0,Two Year,56,8,115.85,Credit Card,Stayed,27
,1744-JHKYS,0,780.2,1171.88,No,391.68,0,Month-to-Month,34,5,24.7,Bank Withdrawal,Stayed,
,1746-TGTWV,0,75.35,114.24,No,38.89,0,Month-to-Month,1,1,75.35,Credit Card,Joined,9
2,1750-CSKKM,0,449.75,818.93,No,369.18,0,Month-to-Month,9,0,55.35,Bank Withdrawal,Churned,27
,1751-NCDLI,0,4564.9,4758.1,Yes,193.2,0,One Year,46,6,98.85,Bank Withdrawal,Stayed,22
,1752-OZXFY,0,3561.15,4475.55,Yes,914.4,0,One Year,60,6,59.8,Credit Card,Stayed,16
,1754-GKYPY,0,1938.9,2431.26,Yes,492.36,0,Month-to-Month,22,8,89.75,Bank Withdrawal,Stayed,14
