Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Unlimited Data,Phone Service,Streaming TV,Streaming Movies,Streaming Music,Premium Tech Support,Offer,Customer ID
No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,No,Offer D,1195-OIYEJ
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,1196-AMORA
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,1197-BVMVG
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,No,No,Offer E,1200-TUZHR
No,Yes,DSL,Yes,No,No,Yes,Yes,No,No,No,Yes,Offer D,1202-KKGFU
No,Yes,DSL,No,No,No,Yes,Yes,Yes,No,No,Yes,Offer E,1205-WNWPJ
No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,No,No,Offer B,1206-EHBDD
Yes,No,,,,,,Yes,,,,,None,1207-BLKSA
Yes,Yes,DSL,No,No,No,Yes,Yes,No,No,No,No,None,1208-DNHLN
No,Yes,Cable,No,No,Yes,Yes,Yes,No,No,No,No,None,1208-NBVFH
,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Offer A,1209-VFFOC
No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Offer E,1212-GLHMD
No,Yes,DSL,No,No,No,Yes,Yes,No,No,No,Yes,Offer E,1213-NGCUN
No,No,,,,,,Yes,,,,,None,1215-EXRMO
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,No,No,No,Offer B,1215-FIGMP
,Yes,Cable,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Offer E,1215-VFYVK
Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,1216-BGTSP
No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,No,No,No,None,1216-JWVUX
No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer B,1217-VASWC
No,No,,,,,,Yes,,,,,Offer D,1218-VKFPE
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer E,1219-NNDDO
No,Yes,DSL,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,None,1221-GHZEP
No,No,,,,,,Yes,,,,,Offer B,1222-KJNZD
Yes,No,,,,,,Yes,,,,,Offer E,1222-LRYKO
No,No,,,,,,Yes,,,,,None,1223-UNPKS
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,Yes,No,Offer D,1226-IENZN
No,No,,,,,,Yes,,,,,Offer E,1226-JZNKR
No,Yes,Cable,No,Yes,No,Yes,Yes,No,No,No,No,Offer E,1226-UDFZR
Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,1227-UDMZR
Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,None,1228-FZFRV
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,1228-ZLNBX
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,1229-RCALF
Yes,Yes,Cable,No,No,No,Yes,Yes,Yes,No,No,Yes,None,1230-QAJDW
No,No,,,,,,Yes,,,,,None,1231-YNDEK
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,No,None,1236-WFCDV
No,No,,,,,,Yes,,,,,Offer D,1237-WIYYZ
Yes,No,,,,,,Yes,,,,,None,1240-HCBOH
No,No,,,,,,Yes,,,,,Offer E,1240-KNSEZ
Yes,No,,,,,,Yes,,,,,Offer B,1241-EZFMJ
No,No,,,,,,Yes,,,,,None,1241-FPMOF
No,No,,,,,,Yes,,,,,None,1245-HARPS
No,Yes,DSL,No,Yes,No,Yes,Yes,No,No,No,No,Offer B,1247-QBVSH
Yes,No,,,,,,Yes,,,,,Offer B,1248-DYXUB
Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,No,Yes,No,None,1251-KRREG
Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,No,No,None,1251-STYSZ
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,No,No,None,1254-IZEYF
No,No,,,,,,Yes,,,,,None,1257-SXUXQ
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Offer C,1258-YMZNM
No,Yes,DSL,No,No,No,No,Yes,No,Yes,Yes,No,Offer E,1260-TTRXI
,Yes,Cable,No,No,No,Yes,No,No,Yes,Yes,No,None,1261-FWTTE
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,No,No,Offer E,1262-OPMFY
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Offer B,1264-BYWMS
,Yes,DSL,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Offer B,1264-FUHCX
Yes,Yes,Cable,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,1265-BCFEO
No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,None,1265-HVPZB
Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,No,None,1265-XTECC
Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,None,1265-ZFOSD
Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Offer A,1266-NZYUI
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,No,No,Offer D,1268-ASBGA
No,No,,,,,,Yes,,,,,None,1269-FOYWN
No,No,,,,,,Yes,,,,,None,1270-XKUCC
,Yes,DSL,No,No,Yes,Yes,No,No,Yes,No,Yes,None,1271-SJBGZ
Yes,Yes,DSL,No,No,No,Yes,Yes,No,No,No,Yes,None,1271-UODNO
No,No,,,,,,Yes,,,,,Offer D,1272-ILHFG
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Yes,No,No,None,1273-MTETI
,Yes,Cable,No,Yes,Yes,Yes,No,Yes,No,No,No,Offer A,1282-IHQAC
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,Yes,No,None,1285-OKIPP
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,1291-CUOCY
No,No,,,,,,Yes,,,,,None,1293-BSEUN
No,No,,,,,,Yes,,,,,Offer C,1293-HHSHJ
Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Offer A,1297-VQDRP
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,No,No,Yes,None,1298-PHBTI
Yes,No,,,,,,Yes,,,,,None,1299-AURJA
,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,None,1301-LOPVR
No,No,,,,,,Yes,,,,,None,1302-TPUBN
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,No,Offer D,1302-UHBDD
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer B,1303-SRDOK
No,Yes,Cable,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,None,1304-BCCFO
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,No,No,Offer E,1304-NECVQ
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer A,1304-SEGFY
No,No,,,,,,Yes,,,,,None,1306-RPWXZ
No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,None,1307-ATKGB
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,No,No,No,None,1307-TVUFB
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer D,1309-BXVOQ
Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,None,1309-XGFSN
Yes,Yes,DSL,No,No,No,Yes,Yes,No,No,No,No,None,1310-QRITU
No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Offer D,1319-YLZJG
Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,None,1320-GVNHT
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer E,1320-HTRDR
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,1320-REHCS
,Yes,DSL,No,Yes,No,Yes,No,No,No,No,No,None,1322-AGOQM
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,None,1323-OOEPC
Yes,Yes,DSL,No,No,No,Yes,Yes,No,No,No,Yes,Offer D,1324-NLTJE
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Offer A,1325-USMEC
No,No,,,,,,Yes,,,,,None,1328-EUZHC
,Yes,DSL,No,No,No,Yes,No,No,No,No,No,None,1329-VHWNP
Yes,No,,,,,,Yes,,,,,None,1333-PBMXB
,Yes,DSL,No,No,No,Yes,No,No,No,No,No,Offer E,1334-FJSVR
Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,No,No,Offer A,1334-PDUKM
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer A,1335-HQMKX
No,Yes,DSL,No,No,Yes,Yes,Yes,No,No,No,Yes,None,1335-MXCSE
,Yes,DSL,No,No,No,Yes,No,No,No,No,No,None,1335-NTIUC
No,No,,,,,,Yes,,,,,None,1336-EZFZY
,Yes,DSL,No,Yes,Yes,Yes,No,Yes,No,No,No,None,1337-BOZWO
Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,No,No,No,None,1338-CECEE
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,No,No,Offer D,1342-JPNKI
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,None,1343-EHPYB
No,No,,,,,,Yes,,,,,None,1345-GKDZZ
No,No,,,,,,Yes,,,,,Offer D,1345-ZUKID
No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,None,1346-PJWTK
Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,No,No,Offer D,1346-UFHAX
No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer B,1347-KTTTA
No,No,,,,,,Yes,,,,,None,1349-WXNGG
Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,None,1352-HNSAW
Yes,Yes,Cable,No,No,No,No,Yes,Yes,Yes,Yes,Yes,None,1352-VHKAJ
No,Yes,DSL,Yes,No,No,Yes,Yes,Yes,No,No,No,Offer D,1353-GHZOS
No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Offer D,1353-LJWEM
No,No,,,,,,Yes,,,,,Offer E,1354-YZFNB
Yes,Yes,DSL,No,No,No,Yes,Yes,No,No,No,No,Offer E,1355-KUSBG
No,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Offer E,1356-MKYSK
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Offer B,1357-BIJKI
No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,No,No,No,Offer D,1357-MVDOZ
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,1360-JYXKQ
,Yes,DSL,No,No,No,Yes,No,No,No,No,Yes,Offer D,1360-RCYRT
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,1360-XFJMR
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer E,1363-TXLSL
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,None,1370-GGAWX
,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,None,1371-DWPAZ
Yes,No,,,,,,Yes,,,,,None,1371-OJCEK
No,Yes,DSL,No,No,No,No,Yes,No,Yes,Yes,No,None,1371-WEPDS
Yes,Yes,DSL,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Offer D,1373-ORVIZ
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Offer E,1374-DMZUI
No,Yes,DSL,Yes,No,No,Yes,Yes,No,No,No,No,Offer C,1376-HHBDV
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,No,No,No,Offer D,1379-FRVEB
No,No,,,,,,Yes,,,,,Offer E,1383-EZRWL
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,No,No,No,None,1384-RCUXW
No,No,,,,,,Yes,,,,,Offer E,1385-TQOZW
No,No,,,,,,Yes,,,,,Offer E,1386-ZIKUV
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,No,No,Offer E,1389-CXMLU
Yes,Yes,Cable,Yes,No,No,No,Yes,Yes,Yes,Yes,No,None,1389-WNUIB
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,No,No,Offer D,1391-UBDAR
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,None,1393-IMKZG
No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No,Yes,None,1394-SUIUH
,Yes,Cable,No,Yes,No,Yes,No,No,No,No,No,Offer B,1395-OFUWC
No,No,,,,,,Yes,,,,,None,1395-WSWXR
No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,No,No,No,None,1396-QWFBJ
,Yes,DSL,Yes,No,Yes,Yes,No,No,No,No,No,None,1397-XKKWR
No,No,,,,,,Yes,,,,,None,1399-OUPJN
No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,None,1399-UBQIU
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,None,1400-MMYXY
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,1400-WIVLL
No,No,,,,,,Yes,,,,,Offer D,1401-FTHFQ
No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Offer D,1402-PTHGN
No,No,,,,,,Yes,,,,,Offer A,1403-GYAFU
No,No,,,,,,Yes,,,,,None,1403-LKLIK
No,Yes,DSL,No,Yes,No,Yes,Yes,No,No,No,No,Offer E,1406-PUQVY
No,No,,,,,,Yes,,,,,None,1407-DIGZV
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Offer B,1409-PHXTF
No,Yes,Cable,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,None,1410-RSCMR
No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Offer A,1414-YADCW
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,No,Offer E,1415-YFWLT
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,None,1421-HCERK
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,Yes,None,1422-DGUBX
No,No,,,,,,Yes,,,,,Offer E,1423-BMPBQ
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer B,1427-VERSM
No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,No,No,No,None,1428-GTBJJ
Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,None,1428-IEDPR
No,No,,,,,,Yes,,,,,Offer D,1429-UYJSV
,Yes,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Offer C,1430-SFQSA
No,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer C,1431-AIDJQ
No,No,,,,,,Yes,,,,,Offer D,1431-CYWMH
,Yes,DSL,No,Yes,No,Yes,No,No,No,No,No,None,1432-FPAXX
No,Yes,Cable,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer D,1436-ZMJAN
No,No,,,,,,Yes,,,,,Offer C,1439-LCGVL
,Yes,DSL,No,Yes,No,Yes,No,No,No,No,No,None,1442-BQPVU
No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,None,1442-OKRJE
Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Offer A,1444-VVSGW
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,1447-GIQMR
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,None,1447-PJGGA
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,None,1448-CYWKC
No,Yes,Cable,No,No,No,Yes,Yes,No,Yes,Yes,No,Offer E,1448-PWKYE
No,No,,,,,,Yes,,,,,Offer E,1449-XQEMT
Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Yes,None,1450-GALXR
No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,No,Yes,No,None,1450-SKCVI
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,No,No,No,Offer D,1452-KIOVK
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Offer A,1452-UZOSF
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,1452-VOQCH
No,Yes,DSL,Yes,No,No,Yes,Yes,No,No,No,No,None,1452-XRSJV
No,Yes,Cable,Yes,No,No,Yes,Yes,No,No,No,No,Offer E,1453-RZFON
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,None,1455-ESIQH
Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,Yes,Offer B,1455-HFBXA
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer D,1455-UGQVH
No,Yes,Cable,No,Yes,No,Yes,Yes,No,No,No,No,None,1456-TWCGB
,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Offer A,1459-QNFQT
No,No,,,,,,Yes,,,,,None,1460-UZPRJ
No,Yes,Cable,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Offer E,1465-LNTLJ
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,None,1465-VINDH
No,No,,,,,,Yes,,,,,None,1465-WCZVT
Yes,No,,,,,,Yes,,,,,None,1468-DEFNC
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer A,1469-LBJQJ
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,No,No,None,1470-PSXNM
No,Yes,DSL,No,Yes,No,Yes,Yes,No,No,No,No,None,1471-GIQKQ
No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,None,1472-TNCWL
Yes,Yes,Cable,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,None,1474-JUWSM
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,No,No,Offer E,1475-VWVDO
No,Yes,DSL,No,No,No,Yes,Yes,No,No,No,No,Offer E,1478-VPOAD
Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Offer A,1480-BKXGA
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,No,No,None,1480-IVEVR
Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,None,1481-ZUWZA
Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Offer C,1482-OXZSY
Yes,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,None,1485-YDHMM
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,1488-PBLJN
No,No,,,,,,Yes,,,,,None,1488-SYSFC
Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Offer A,1492-KGETH
Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,1492-QGCLU
No,No,,,,,,Yes,,,,,Offer E,1493-AMTIE
No,No,,,,,,Yes,,,,,None,1494-EJZDW
,Yes,Cable,No,No,No,Yes,No,No,No,No,No,None,1496-GGSUK
No,No,,,,,,Yes,,,,,None,1498-DQNRX
No,Yes,Cable,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Offer B,1498-NHTLT
No,Yes,Cable,No,No,No,Yes,Yes,No,No,No,No,None,1501-SGHBW
No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer B,1502-XFCVR
Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Offer B,1506-YJTYT
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,No,No,None,1508-DFXCU
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Offer D,1513-XNPPH
No,Yes,DSL,No,No,No,Yes,Yes,No,No,No,No,Offer C,1518-OMDIK
No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Offer E,1518-VOWAV
No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,No,No,Yes,None,1522-VVDMG
Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,No,No,No,None,1525-LNLOJ
Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,Yes,Yes,Yes,None,1527-SXDPN
,Yes,Cable,Yes,No,No,Yes,No,Yes,No,No,No,None,1530-ZTDOZ
No,Yes,DSL,Yes,No,No,Yes,Yes,No,No,No,No,Offer B,1534-OULXE
Yes,No,,,,,,Yes,,,,,None,1535-VTJOQ
No,Yes,DSL,No,No,No,Yes,Yes,No,No,No,Yes,None,1536-HBSWP
Yes,Yes,Cable,Yes,No,No,Yes,Yes,No,No,No,Yes,None,1536-YHDOE
No,No,,,,,,Yes,,,,,Offer D,1539-LNKHM
Yes,Yes,DSL,No,No,Yes,No,Yes,No,No,No,Yes,Offer E,1541-ETJZO
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,None,1543-LLLFT
No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,None,1544-JJMYL
No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer B,1545-ACTAS
Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,No,No,None,1545-JFUML
Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,No,No,Yes,None,1548-ARAGG
Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,None,1548-FEHVL
Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,None,1550-EENBN
No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,Yes,No,None,1550-LOAHA
Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,None,1552-AAGRX
No,No,,,,,,Yes,,,,,Offer B,1552-CZCLL
No,No,,,,,,Yes,,,,,Offer B,1552-TKMXS
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,1555-DJEQW
Yes,No,,,,,,Yes,,,,,Offer A,1555-HAPSU
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer B,1557-EMYVT
,Yes,DSL,No,No,No,Yes,No,No,No,No,No,Offer D,1559-DTODC
No,No,,,,,,Yes,,,,,Offer D,1561-BWHIN
No,No,,,,,,Yes,,,,,None,1563-IWQEX
No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,No,No,Yes,None,1564-HJUVY
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,Yes,No,No,None,1564-NTYXF
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,No,Yes,No,None,1565-RHDJD
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,No,No,None,1567-DSCIC
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,1568-BEKZM
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,1568-LJSZU
Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,No,No,None,1569-TTNYJ
Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Yes,None,1571-SAVHK
No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,None,1573-LGXBA
No,No,,,,,,Yes,,,,,Offer B,1574-DYCWE
No,Yes,Cable,Yes,Yes,No,Yes,Yes,No,No,No,No,Offer E,1575-KRZZE
No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Offer A,1576-PFZIW
No,No,,,,,,Yes,,,,,None,1577-HKTFG
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,No,No,Offer E,1579-KLYDT
No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,Yes,No,None,1580-BMCMR
Yes,Yes,Cable,No,Yes,No,Yes,Yes,No,No,No,Yes,Offer E,1582-RAFML
Yes,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,1583-IHQZE
No,Yes,Cable,No,No,No,Yes,Yes,No,No,No,Yes,Offer D,1585-MQSSU
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Offer A,1587-FKLZB
No,Yes,DSL,No,No,No,Yes,Yes,No,No,No,No,None,1589-AGTLK
Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Offer B,1591-MQJTP
Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,No,No,None,1591-NFNLQ
No,No,,,,,,Yes,,,,,None,1591-XWLGB
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer C,1596-BBVTG
No,Yes,DSL,No,Yes,No,Yes,Yes,No,No,No,No,None,1596-OQSPS
No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer E,1597-FZREH
Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,No,None,1597-LHYNC
Yes,No,,,,,,Yes,,,,,None,1599-EAHXY
No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,No,No,None,1599-MMYRQ
No,Yes,DSL,No,No,No,Yes,Yes,No,No,No,No,None,1600-DILPE
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer E,1602-IJQQE
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,No,Offer B,1608-GMEWB
No,Yes,DSL,No,No,No,Yes,Yes,No,No,Yes,No,Offer E,1612-EOHDH
No,No,,,,,,Yes,,,,,Offer E,1614-JBEBI
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,1618-CFHME
Yes,No,,,,,,Yes,,,,,Offer A,1619-YWUBB
